"K_SGH";"K_AFD";"V_AFDNAVN";"K_FRADTO";"D_TILDTO";"D_AJODTO";"C_SPECIALE1";"C_SPECIALE2";"C_SPECIALE3";"C_SPECIALE4"
"2000";"875";"SH Radiologisk Afd.";"2012-09-01";"2500-01-01";"2012-09-27";"066";NULL;NULL;NULL
"2000";"99 ";"Nordsjællands Hospital, Central Visitation";"2006-01-01";"2500-01-01";"2006-12-18";NULL;NULL;NULL;NULL
"2000";"99V";"Nordsjællands Hospital, Central Visitation";"2005-01-01";"2500-01-01";"2006-12-18";"099";NULL;NULL;NULL
"2001";"010";"ANÆSTHESIOLOGISK AFDELING";"1992-01-01";"1994-12-31";"1992-01-01";"084";NULL;NULL;NULL
"2001";"010";"ANÆSTHESIOLOGISK AFDELING";"1995-01-01";"2000-06-01";"1999-04-22";"084";NULL;NULL;NULL
"2001";"011";"ANÆSTHESIOLOGISK AFDELING";"1976-04-01";"1982-12-31";"1976-04-01";"084";NULL;NULL;NULL
"2001";"011";"ANÆSTHESIOLOGISK AFDELING";"1983-01-01";"1991-12-31";"1983-01-01";"084";NULL;NULL;NULL
"2001";"030";"FYSIURGISK AFDELING E";"1976-04-01";"1982-12-31";"1976-04-01";"026";NULL;NULL;NULL
"2001";"030";"REUMATOLOGISK AFDELING E";"1983-01-01";"1990-12-31";"1983-01-01";"012";"001";NULL;NULL
"2001";"030";"REUMATOLOGISK AFDELING E";"1991-01-01";"1993-12-31";"1991-01-01";"012";"001";NULL;NULL
"2001";"030";"MED. REUMATOLOGISK AFDELING E";"1994-01-01";"1994-12-31";"1994-01-01";"012";"001";NULL;NULL
"2001";"030";"REUMATOLOGISK AFDELING E";"1995-01-01";"2000-06-01";"1999-04-22";"012";"001";NULL;NULL
"2001";"039";"FYSIURGISK AMBULATORIUM E";"1977-01-01";"1982-12-31";"1977-01-01";"026";NULL;NULL;NULL
"2001";"039";"REUMATOLOGISK AMBULATORIUM E";"1983-01-01";"1990-12-31";"1983-01-01";"012";NULL;NULL;NULL
"2001";"039";"REUMATOLOGISK AMBULATORIUM E";"1991-01-01";"1993-12-31";"1991-01-01";"012";NULL;NULL;NULL
"2001";"039";"MED. REUMATOLOGISK AMB. E";"1994-01-01";"1994-12-31";"1994-01-01";"012";NULL;NULL;NULL
